Probe Set ID	Target Description	Gene Title	Gene Symbol	Ensembl	SwissProt	SGD accession number
2460_at	"Saccharomyces cerevisiae chromosome II, complete chromosome sequence. Found forward in NC_001134 between 226363 and 227362 with 100% identity."	---	---	tS(AGA)A /// tS(AGA)B /// tS(AGA)D1 /// tS(AGA)D2 /// tS(AGA)D3 /// tS(AGA)E /// tS(AGA)G /// tS(AGA)H /// tS(AGA)J /// tS(AGA)L /// tS(AGA)M /// YAR009C /// YBL005W-B /// YBR012W-B /// YDR098C-B /// YDR210C-D /// YDR261C-D /// YDR316W-B /// YER138C /// YER160C /// YGR027W-B /// YGR038C-B /// YGR161C-D /// YHR214C-B /// YJR027W /// YJR029W /// YLR035C-A /// YLR157C-B /// YLR227W-B /// YML039W /// YML045W /// YMR045C /// YMR050C /// YNL284C-B /// YOL103W-B /// YOR142W-B /// YPL257W-B /// YPR137C-B /// YPR158C-D /// YPR158W-B	A5JYZ4 /// O13527 /// O13535 /// P0C2I2 /// P0C2I5 /// P0C2I6 /// P0C2I9 /// P0C2J0 /// P0C2J1 /// P47098 /// P47100 /// Q03434 /// Q03612 /// Q03619 /// Q03855 /// Q03970 /// Q04214 /// Q04670 /// Q04711 /// Q07793 /// Q12088 /// Q12112 /// Q12141 /// Q12193 /// Q12269 /// Q12273 /// Q12316 /// Q12414 /// Q12490 /// Q92393 /// Q99231 /// Q99337	S000000067 /// S000000940 /// S000000962 /// S000002147 /// S000002155 /// S000003534 /// S000003788 /// S000003790 /// S000004503 /// S000004508 /// S000004648 /// S000004653 /// S000007225 /// S000007350 /// S000007352 /// S000007358 /// S000007360 /// S000007362 /// S000007364 /// S000007368 /// S000007374 /// S000007376 /// S000007387 /// S000007391 /// S000007395 /// S000007399 /// S000007406 /// S000007408 /// S000007410
2461_at	"Saccharomyces cerevisiae chromosome II, complete chromosome sequence. Found forward in NC_001134 between 227363 and 228362 with 100% identity."	"Component of the small-subunit (SSU) processome, which is involved in the biogenesis of the 18S rRNA"	UTP20	YBL004W	P35194	S000000100
2462_g_at	"Saccharomyces cerevisiae chromosome II, complete chromosome sequence. Found forward in NC_001134 between 227363 and 228362 with 100% identity."	"Component of the small-subunit (SSU) processome, which is involved in the biogenesis of the 18S rRNA"	UTP20	YBL004W	P35194	S000000100
2463_s_at	"Saccharomyces cerevisiae chromosome II, complete chromosome sequence. Found forward in NC_001134 between 228363 and 229362 with 100% identity."	"Component of the small-subunit (SSU) processome, which is involved in the biogenesis of the 18S rRNA"	UTP20	YBL004W	P35194	S000000100
2464_s_at	"Saccharomyces cerevisiae chromosome II, complete chromosome sequence. Found forward in NC_001134 between 229363 and 230362 with 100% identity."	"Component of the small-subunit (SSU) processome, which is involved in the biogenesis of the 18S rRNA"	UTP20	YBL004W	P35194	S000000100
2465_s_at	"Saccharomyces cerevisiae chromosome II, complete chromosome sequence. Found forward in NC_001134 between 230363 and 231362 with 100% identity."	"Component of the small-subunit (SSU) processome, which is involved in the biogenesis of the 18S rRNA"	UTP20	YBL004W	P35194	S000000100
2466_s_at	"Saccharomyces cerevisiae chromosome II, complete chromosome sequence. Found forward in NC_001134 between 231363 and 232362 with 100% identity."	"Component of the small-subunit (SSU) processome, which is involved in the biogenesis of the 18S rRNA"	UTP20	YBL004W	P35194	S000000100
2467_s_at	"Saccharomyces cerevisiae chromosome II, complete chromosome sequence. Found forward in NC_001134 between 232363 and 233362 with 100% identity."	"Component of the small-subunit (SSU) processome, which is involved in the biogenesis of the 18S rRNA"	UTP20	YBL004W	P35194	S000000100
2468_s_at	"Saccharomyces cerevisiae chromosome II, complete chromosome sequence. Found forward in NC_001134 between 233363 and 234362 with 100% identity."	"Component of the small-subunit (SSU) processome, which is involved in the biogenesis of the 18S rRNA"	UTP20	YBL004W	P35194	S000000100
2469_s_at	"Saccharomyces cerevisiae chromosome II, complete chromosome sequence. Found forward in NC_001134 between 234363 and 234580 with 100% identity."	"Component of the small-subunit (SSU) processome, which is involved in the biogenesis of the 18S rRNA"	UTP20	YBL004W	P35194	S000000100
2470_at	"Saccharomyces cerevisiae chromosome II, complete chromosome sequence. Found forward in NC_001134 between 505265 and 506264 with 100% identity."	Genome integrity checkpoint protein and PI kinase superfamily member; signal transducer required for cell cycle arrest and transcriptional responses prompted by damaged or unreplicated DNA; monitors and participates in meiotic recombination	MEC1	YBR136W	P38111	S000000340
2471_g_at	"Saccharomyces cerevisiae chromosome II, complete chromosome sequence. Found forward in NC_001134 between 505265 and 506264 with 100% identity."	Genome integrity checkpoint protein and PI kinase superfamily member; signal transducer required for cell cycle arrest and transcriptional responses prompted by damaged or unreplicated DNA; monitors and participates in meiotic recombination	MEC1	YBR136W	P38111	S000000340
2472_s_at	"Saccharomyces cerevisiae chromosome II, complete chromosome sequence. Found forward in NC_001134 between 506265 and 507264 with 100% identity."	Genome integrity checkpoint protein and PI kinase superfamily member; signal transducer required for cell cycle arrest and transcriptional responses prompted by damaged or unreplicated DNA; monitors and participates in meiotic recombination	MEC1	YBR136W	P38111	S000000340
2473_s_at	"Saccharomyces cerevisiae chromosome II, complete chromosome sequence. Found forward in NC_001134 between 507265 and 508264 with 100% identity."	Genome integrity checkpoint protein and PI kinase superfamily member; signal transducer required for cell cycle arrest and transcriptional responses prompted by damaged or unreplicated DNA; monitors and participates in meiotic recombination	MEC1	YBR136W	P38111	S000000340
2474_s_at	"Saccharomyces cerevisiae chromosome II, complete chromosome sequence. Found forward in NC_001134 between 508265 and 509264 with 100% identity."	Genome integrity checkpoint protein and PI kinase superfamily member; signal transducer required for cell cycle arrest and transcriptional responses prompted by damaged or unreplicated DNA; monitors and participates in meiotic recombination	MEC1	YBR136W	P38111	S000000340
2475_s_at	"Saccharomyces cerevisiae chromosome II, complete chromosome sequence. Found forward in NC_001134 between 509265 and 510264 with 100% identity."	Genome integrity checkpoint protein and PI kinase superfamily member; signal transducer required for cell cycle arrest and transcriptional responses prompted by damaged or unreplicated DNA; monitors and participates in meiotic recombination	MEC1	YBR136W	P38111	S000000340
2476_s_at	"Saccharomyces cerevisiae chromosome II, complete chromosome sequence. Found forward in NC_001134 between 510265 and 511264 with 100% identity."	Genome integrity checkpoint protein and PI kinase superfamily member; signal transducer required for cell cycle arrest and transcriptional responses prompted by damaged or unreplicated DNA; monitors and participates in meiotic recombination	MEC1	YBR136W	P38111	S000000340
2477_s_at	"Saccharomyces cerevisiae chromosome II, complete chromosome sequence. Found forward in NC_001134 between 511265 and 512233 with 100% identity."	Genome integrity checkpoint protein and PI kinase superfamily member; signal transducer required for cell cycle arrest and transcriptional responses prompted by damaged or unreplicated DNA; monitors and participates in meiotic recombination	MEC1	YBR136W	P38111	S000000340
2478_at	"Saccharomyces cerevisiae chromosome II, complete chromosome sequence. Found forward in NC_001134 between 517809 and 518808 with 100% identity."	---	---	---	---	---
2479_at	"Saccharomyces cerevisiae chromosome II, complete chromosome sequence. Found forward in NC_001134 between 518809 and 519808 with 100% identity."	---	---	---	---	---
2480_at	"Saccharomyces cerevisiae chromosome II, complete chromosome sequence. Found forward in NC_001134 between 519809 and 520808 with 100% identity."	---	---	---	---	---
2481_at	"Saccharomyces cerevisiae chromosome II, complete chromosome sequence. Found forward in NC_001134 between 520809 and 521808 with 100% identity."	---	---	---	---	---
2482_at	"Saccharomyces cerevisiae chromosome II, complete chromosome sequence. Found forward in NC_001134 between 521809 and 522808 with 100% identity."	---	---	---	---	---
2483_at	"Saccharomyces cerevisiae chromosome II, complete chromosome sequence. Found forward in NC_001134 between 522809 and 523808 with 100% identity."	---	---	---	---	---
2484_at	"Saccharomyces cerevisiae chromosome II, complete chromosome sequence. Found forward in NC_001134 between 523809 and 524808 with 100% identity."	---	---	---	---	---
2485_at	"Saccharomyces cerevisiae chromosome II, complete chromosome sequence. Found forward in NC_001134 between 524809 and 525808 with 100% identity."	---	---	---	---	---
2486_at	"Saccharomyces cerevisiae chromosome II, complete chromosome sequence. Found forward in NC_001134 between 525809 and 526808 with 100% identity."	---	---	---	---	---
2487_at	"Saccharomyces cerevisiae chromosome II, complete chromosome sequence. Found forward in NC_001134 between 526809 and 526984 with 100% identity."	---	---	---	---	---
2488_at	"Saccharomyces cerevisiae chromosome II, complete chromosome sequence. Found forward in NC_001134 between 637162 and 638161 with 100% identity."	---	---	---	---	---
2489_at	"Saccharomyces cerevisiae chromosome XVI, complete chromosome sequence. Found forward in NC_001148 between 544577 and 545576 with 100% identity."	"Vacuolar membrane protein that transits through the biosynthetic vacuolar protein sorting pathway, involved in sphingolipid metabolism; glycoprotein and functional orthologue of human Niemann Pick C1 (NPC1) protein"	NCR1	YPL006W	Q12200	S000005927
2490_s_at	"Saccharomyces cerevisiae chromosome XVI, complete chromosome sequence. Found forward in NC_001148 between 545577 and 546576 with 100% identity."	"Vacuolar membrane protein that transits through the biosynthetic vacuolar protein sorting pathway, involved in sphingolipid metabolism; glycoprotein and functional orthologue of human Niemann Pick C1 (NPC1) protein"	NCR1	YPL006W	Q12200	S000005927
2491_s_at	"Saccharomyces cerevisiae chromosome XVI, complete chromosome sequence. Found forward in NC_001148 between 546577 and 547576 with 100% identity."	"Vacuolar membrane protein that transits through the biosynthetic vacuolar protein sorting pathway, involved in sphingolipid metabolism; glycoprotein and functional orthologue of human Niemann Pick C1 (NPC1) protein"	NCR1	YPL006W	Q12200	S000005927
2492_f_at	"Saccharomyces cerevisiae chromosome XVI, complete chromosome sequence. Found forward in NC_001148 between 547577 and 547638 with 100% identity."	"Vacuolar membrane protein that transits through the biosynthetic vacuolar protein sorting pathway, involved in sphingolipid metabolism; glycoprotein and functional orthologue of human Niemann Pick C1 (NPC1) protein"	NCR1	YPL006W	Q12200	S000005927
2493_at	"Saccharomyces cerevisiae chromosome XVI, complete chromosome sequence. Found forward in NC_001148 between 624964 and 625963 with 100% identity."	---	---	---	---	---
2494_at	"Saccharomyces cerevisiae chromosome XVI, complete chromosome sequence. Found forward in NC_001148 between 625964 and 626963 with 100% identity."	---	---	---	---	---
2495_at	"Saccharomyces cerevisiae chromosome XVI, complete chromosome sequence. Found forward in NC_001148 between 626964 and 627963 with 100% identity."	"Nuclear protein proposed to regulate utilization of nonfermentable carbon sources and endocytosis of plasma membrane proteins; overproduction suppresses chs5 spa2 lethality at high temp; ubiquitinated by Rsp5p, deubiquitinated by Ubp2p"	CSR2	YPR030W	Q12734	S000006234
2496_g_at	"Saccharomyces cerevisiae chromosome XVI, complete chromosome sequence. Found forward in NC_001148 between 626964 and 627963 with 100% identity."	"Nuclear protein proposed to regulate utilization of nonfermentable carbon sources and endocytosis of plasma membrane proteins; overproduction suppresses chs5 spa2 lethality at high temp; ubiquitinated by Rsp5p, deubiquitinated by Ubp2p"	CSR2	YPR030W	Q12734	S000006234
2497_s_at	"Saccharomyces cerevisiae chromosome XVI, complete chromosome sequence. Found forward in NC_001148 between 627964 and 628963 with 100% identity."	"Nuclear protein proposed to regulate utilization of nonfermentable carbon sources and endocytosis of plasma membrane proteins; overproduction suppresses chs5 spa2 lethality at high temp; ubiquitinated by Rsp5p, deubiquitinated by Ubp2p"	CSR2	YPR030W	Q12734	S000006234
2498_s_at	"Saccharomyces cerevisiae chromosome XVI, complete chromosome sequence. Found forward in NC_001148 between 628964 and 629963 with 100% identity."	"Nuclear protein proposed to regulate utilization of nonfermentable carbon sources and endocytosis of plasma membrane proteins; overproduction suppresses chs5 spa2 lethality at high temp; ubiquitinated by Rsp5p, deubiquitinated by Ubp2p"	CSR2	YPR030W	Q12734	S000006234
2499_s_at	"Saccharomyces cerevisiae chromosome XVI, complete chromosome sequence. Found forward in NC_001148 between 629964 and 630740 with 100% identity."	"Nuclear protein proposed to regulate utilization of nonfermentable carbon sources and endocytosis of plasma membrane proteins; overproduction suppresses chs5 spa2 lethality at high temp; ubiquitinated by Rsp5p, deubiquitinated by Ubp2p"	CSR2	YPR030W	Q12734	S000006234
2500_at	"Saccharomyces cerevisiae chromosome XVI, complete chromosome sequence. Found forward in NC_001148 between 759478 and 760477 with 100% identity."	---	---	YPR116W /// YPR117W	Q06109 /// Q06116	S000006320 /// S000006321
2501_g_at	"Saccharomyces cerevisiae chromosome XVI, complete chromosome sequence. Found forward in NC_001148 between 759478 and 760477 with 100% identity."	---	---	YPR117W	Q06116	S000006321
2502_s_at	"Saccharomyces cerevisiae chromosome XVI, complete chromosome sequence. Found forward in NC_001148 between 760478 and 761477 with 100% identity."	---	---	YPR117W	Q06116	S000006321
2503_s_at	"Saccharomyces cerevisiae chromosome XVI, complete chromosome sequence. Found forward in NC_001148 between 761478 and 762477 with 100% identity."	---	---	YPR117W	Q06116	S000006321
2504_s_at	"Saccharomyces cerevisiae chromosome XVI, complete chromosome sequence. Found forward in NC_001148 between 762478 and 763477 with 100% identity."	---	---	YPR117W	Q06116	S000006321
2505_s_at	"Saccharomyces cerevisiae chromosome XVI, complete chromosome sequence. Found forward in NC_001148 between 763478 and 764477 with 100% identity."	---	---	YPR117W	Q06116	S000006321
2506_s_at	"Saccharomyces cerevisiae chromosome XVI, complete chromosome sequence. Found forward in NC_001148 between 764478 and 765477 with 100% identity."	---	---	YPR117W	Q06116	S000006321
